,1100023,1100122,1100205,1200401,1301902,1302603,1303403,1400100,1500107,1500602,1500800,1501303,1501402,1501709,1501808,1502103,1502400,1503606,1504208,1504422,1505502,1505536,1506807,1507300,1507953,1508100,1600303,1600600,1702109,1721000,2100055,2101202,2103000,2103307,2105302,2107506,2111201,2111300,2112209,2207702,2211001,2303709,2304202,2304400,2305506,2306405,2307304,2307650,2307700,2312908,2408003,2408102,2403251,2412005,2504009,2507507,2510808,2513703,2602902,2603454,2604106,2606002,2606804,2607901,2609600,2610707,2611101,2611606,2612505,2613701,2616407,2700300,2704302,2800308,2803500,2804805,2900702,2903201,2905701,2910727,2910800,2913606,2914802,2918001,2918407,2919207,2924009,2925303,2927408,2928703,2930709,2931350,2933307,3103504,3104007,3105608,3106200,3106705,3118304,3118601,3119401,3122306,3127701,3129806,3131307,3131703,3134202,3136702,3138203,3143302,3143906,3145208,3147907,3148004,3151800,3152501,3154606,3156700,3157807,3167202,3168606,3169901,3170107,3170206,3170701,3171204,3200607,3201209,3201308,3201506,3202405,3203205,3204906,3205002,3205200,3205309,3300100,3300209,3300308,3300407,3300456,3300704,3301009,3301702,3301900,3302007,3302205,3302270,3302403,3302502,3302700,3302858,3303203,3303302,3303401,3303500,3303906,3304144,3304201,3304524,3304557,3304904,3305109,3305208,3305802,3306305,3501608,3502804,3503208,3503307,3504008,3504107,3505500,3505708,3506003,3506508,3507506,3507605,3509007,3509502,3510500,3510609,3511102,3513009,3513504,3513801,3515004,3515707,3516200,3516309,3516408,3518404,3518701,3518800,3519071,3520509,3522109,3522208,3522307,3522505,3523107,3523404,3523909,3524402,3525003,3525300,3525904,3526704,3526902,3528502,3529005,3529401,3530607,3530706,3534401,3534708,3536505,3538006,3538709,3539806,3541000,3541406,3543303,3543402,3543907,3545209,3545803,3547304,3547809,3548500,3548708,3548807,3548906,3549805,3549904,3550308,3551009,3551702,3552205,3552403,3552502,3552809,3554003,3554102,3556206,3556503,3557006,4100400,4101408,4101507,4101804,4103701,4104204,4104808,4105805,4106902,4107652,4108304,4109401,4113700,4115200,4118204,4119152,4119509,4119905,4125506,4127700,4128104,4202008,4202404,4202909,4204202,4204608,4205407,4208203,4208906,4209102,4209300,4211900,4216602,4218707,4300604,4301602,4302105,4303103,4304606,4305108,4307005,4309209,4313409,4314100,4314407,4314902,4315602,4316808,4316907,4318705,4320008,4322400,4323002,5002704,5003207,5003702,5008305,5103403,5107602,5107909,5107958,5108402,5200258,5201108,5201405,5205109,5208004,5208707,5211503,5211909,5212501,5215231,5218805,5220454,5221403,5221858,5300108
nome,Ariquemes,Ji-Paraná,Porto Velho,Rio Branco,Itacoatiara,Manaus,Parintins,Boa Vista,Abaetetuba,Altamira,Ananindeua,Barcarena,Belém,Bragança,Breves,Cametá,Castanhal,Itaituba,Marabá,Marituba,Paragominas,Parauapebas,Santarém,São Félix do Xingu,Tailândia,Tucuruí,Macapá,Santana,Araguaína,Palmas,Açailândia,Bacabal,Caxias,Codó,Imperatriz,Paço do Lumiar,São José de Ribamar,São Luís,Timon,Parnaíba,Teresina,Caucaia,Crato,Fortaleza,Iguatu,Itapipoca,Juazeiro do Norte,Maracanaú,Maranguape,Sobral,Mossoró,Natal,Parnamirim,São Gonçalo do Amarante,Campina Grande,João Pessoa,Patos,Santa Rita,Cabo de Santo Agostinho,Camaragibe,Caruaru,Garanhuns,Igarassu,Jaboatão dos Guararapes,Olinda,Paulista,Petrolina,Recife,Santa Cruz do Capibaribe,São Lourenço da Mata,Vitória de Santo Antão,Arapiraca,Maceió,Aracaju,Lagarto,Nossa Senhora do Socorro,Alagoinhas,Barreiras,Camaçari,Eunápolis,Feira de Santana,Ilhéus,Itabuna,Jequié,Juazeiro,Lauro de Freitas,Paulo Afonso,Porto Seguro,Salvador,Santo Antônio de Jesus,Simões Filho,Teixeira de Freitas,Vitória da Conquista,Araguari,Araxá,Barbacena,Belo Horizonte,Betim,Conselheiro Lafaiete,Contagem,Coronel Fabriciano,Divinópolis,Governador Valadares,Ibirité,Ipatinga,Itabira,Ituiutaba,Juiz de Fora,Lavras,Montes Claros,Muriaé,Nova Serrana,Passos,Patos de Minas,Poços de Caldas,Pouso Alegre,Ribeirão das Neves,Sabará,Santa Luzia,Sete Lagoas,Teófilo Otoni,Ubá,Uberaba,Uberlândia,Varginha,Vespasiano,Aracruz,Cachoeiro de Itapemirim,Cariacica,Colatina,Guarapari,Linhares,São Mateus,Serra,Vila Velha,Vitória,Angra dos Reis,Araruama,Barra do Piraí,Barra Mansa,Belford Roxo,Cabo Frio,Campos dos Goytacazes,Duque de Caxias,Itaboraí,Itaguaí,Itaperuna,Japeri,Macaé,Magé,Maricá,Mesquita,Nilópolis,Niterói,Nova Friburgo,Nova Iguaçu,Petrópolis,Queimados,Resende,Rio das Ostras,Rio de Janeiro,São Gonçalo,São João de Meriti,São Pedro da Aldeia,Teresópolis,Volta Redonda,Americana,Araçatuba,Araraquara,Araras,Assis,Atibaia,Barretos,Barueri,Bauru,Birigui,Botucatu,Bragança Paulista,Caieiras,Campinas,Caraguatatuba,Carapicuíba,Catanduva,Cotia,Cubatão,Diadema,Embu das Artes,Ferraz de Vasconcelos,Franca,Francisco Morato,Franco da Rocha,Guaratinguetá,Guarujá,Guarulhos,Hortolândia,Indaiatuba,Itanhaém,Itapecerica da Serra,Itapetininga,Itapevi,Itaquaquecetuba,Itatiba,Itu,Jacareí,Jandira,Jaú,Jundiaí,Leme,Limeira,Mairiporã,Marília,Mauá,Mogi das Cruzes,Mogi Guaçu,Osasco,Ourinhos,Paulínia,Pindamonhangaba,Piracicaba,Poá,Praia Grande,Presidente Prudente,Ribeirão Pires,Ribeirão Preto,Rio Claro,Salto,Santa Bárbara d'Oeste,Santana de Parnaíba,Santo André,Santos,São Bernardo do Campo,São Caetano do Sul,São Carlos,São José do Rio Preto,São José dos Campos,São Paulo,São Vicente,Sertãozinho,Sorocaba,Sumaré,Suzano,Taboão da Serra,Tatuí,Taubaté,Valinhos,Várzea Paulista,Votorantim,Almirante Tamandaré,Apucarana,Arapongas,Araucária,Cambé,Campo Largo,Cascavel,Colombo,Curitiba,Fazenda Rio Grande,Foz do Iguaçu,Guarapuava,Londrina,Maringá,Paranaguá,Pinhais,Piraquara,Ponta Grossa,São José dos Pinhais,Toledo,Umuarama,Balneário Camboriú,Blumenau,Brusque,Chapecó,Criciúma,Florianópolis,Itajaí,Jaraguá do Sul,Joinville,Lages,Palhoça,São José,Tubarão,Alvorada,Bagé,Bento Gonçalves,Cachoeirinha,Canoas,Caxias do Sul,Erechim,Gravataí,Novo Hamburgo,Passo Fundo,Pelotas,Porto Alegre,Rio Grande,Santa Cruz do Sul,Santa Maria,São Leopoldo,Sapucaia do Sul,Uruguaiana,Viamão,Campo Grande,Corumbá,Dourados,Três Lagoas,Cuiabá,Rondonópolis,Sinop,Tangará da Serra,Várzea Grande,Águas Lindas de Goiás,Anápolis,Aparecida de Goiânia,Catalão,Formosa,Goiânia,Itumbiara,Jataí,Luziânia,Novo Gama,Rio Verde,Senador Canedo,Trindade,Valparaíso de Goiás,Brasília
populacao,107863.00,128969.00,529544.00,407319.00,101337.00,2182763.00,114273.00,399213.00,157698.00,114594.00,530598.00,124680.00,1492745.00,127686.00,102701.00,137890.00,200793.00,101247.00,279349.00,131521.00,113145.00,208273.00,304589.00,128481.00,106339.00,113659.00,503327.00,121364.00,180470.00,299127.00,112445.00,104949.00,164880.00,122859.00,258682.00,122197.00,177687.00,1101884.00,169107.00,153078.00,864845.00,361400.00,132123.00,2669342.00,102498.00,129358.00,274207.00,227886.00,128978.00,208935.00,297378.00,884122.00,261469.00,102400.00,409731.00,809015.00,107605.00,136586.00,207048.00,157828.00,361118.00,139788.00,117019.00,702298.00,392482.00,331774.00,349145.00,1645727.00,107937.00,113230.00,138757.00,231747.00,1018948.00,657013.00,104408.00,183628.00,151596.00,155439.00,299132.00,113380.00,614872.00,162327.00,213223.00,155966.00,216707.00,198440.00,117782.00,148686.00,2872347.00,101512.00,134377.00,160487.00,338480.00,117267.00,106229.00,137313.00,2512070.00,439340.00,128589.00,663855.00,109855.00,238230.00,279885.00,180204.00,263410.00,120060.00,104671.00,568873.00,103773.00,409341.00,108763.00,102693.00,114679.00,152488.00,167397.00,150737.00,334858.00,136344.00,219134.00,239639.00,140592.00,115552.00,333783.00,691305.00,135558.00,127601.00,101220.00,208972.00,381285.00,122499.00,124859.00,173555.00,130611.00,517510.00,493838.00,362097.00,203785.00,132400.00,100374.00,184412.00,510906.00,226525.00,507548.00,919596.00,240592.00,133019.00,103224.00,104768.00,256672.00,245071.00,161207.00,176103.00,162485.00,513584.00,190631.00,821128.00,306191.00,150319.00,131341.00,150674.00,6718903.00,1084839.00,472406.00,104476.00,182594.00,273012.00,239597.00,197016.00,236072.00,134236.00,104386.00,142761.00,122098.00,274182.00,376818.00,123638.00,146497.00,168668.00,101470.00,1204073.00,121532.00,400927.00,121862.00,249210.00,130705.00,423884.00,273726.00,194276.00,353187.00,175844.00,154489.00,121798.00,320459.00,1379182.00,230851.00,251627.00,101816.00,175693.00,163901.00,237700.00,370821.00,120858.00,173939.00,233662.00,124937.00,150252.00,418962.00,103391.00,306114.00,100179.00,238882.00,472912.00,445842.00,151888.00,698418.00,113542.00,109424.00,168328.00,404142.00,117452.00,325073.00,228743.00,123393.00,703293.00,206424.00,118663.00,193475.00,139447.00,718773.00,433311.00,838936.00,161127.00,251983.00,460671.00,721944.00,12252023.00,365798.00,125815.00,679378.00,282441.00,297637.00,289664.00,121766.00,314924.00,129193.00,121838.00,122480.00,118623.00,134996.00,123027.00,143843.00,106533.00,132002.00,328454.00,243726.00,1933105.00,100209.00,258532.00,181504.00,569733.00,423666.00,154936.00,132157.00,113036.00,351736.00,323340.00,140635.00,111557.00,142295.00,357199.00,134723.00,220367.00,215186.00,500973.00,219536.00,177697.00,590466.00,157544.00,171797.00,246586.00,105686.00,210305.00,121143.00,120454.00,130293.00,346616.00,510906.00,105862.00,281519.00,246748.00,203275.00,342405.00,1483771.00,211005.00,130416.00,282123.00,236835.00,141075.00,126970.00,255224.00,895982.00,111435.00,222949.00,121388.00,612547.00,232491.00,142996.00,103750.00,284971.00,212440.00,386923.00,578179.00,108823.00,121617.00,1516113.00,104742.00,100882.00,208299.00,115711.00,235647.00,115371.00,127599.00,168468.00,3015268.00
02-25-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-26-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-27-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-28-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-29-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
